@relation 'electricity-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute day {1,2,3,4,5,6,7}
@attribute period numeric
@attribute nswdemand numeric
@attribute vicprice numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {UP,DOWN}

@data
4,5,6101,?,?,0,DOWN
4,6,5808,?,?,0,DOWN
4,7,5508,?,?,0,DOWN
4,8,5366,?,?,0,DOWN
4,9,5293,?,?,0,UP
4,10,5267,?,?,0,UP
4,11,5446,?,?,0,UP
4,12,5732,?,?,0,UP
4,13,6340,?,?,0,UP
4,14,6986,?,?,0,UP
4,15,7015,?,?,0,UP
4,16,7403,?,?,0,DOWN
4,17,7573,?,?,0,DOWN
4,18,7592,?,?,0,DOWN
4,19,7768,?,?,0,UP
4,20,7849,?,?,0,UP
4,21,7776,?,?,0,UP
4,22,7574,?,?,0,UP
4,23,7619,?,?,0,UP
4,24,7571,?,?,0,UP
4,25,7520,?,?,0,UP
4,26,7472,?,?,0,UP
4,27,7463,?,?,0,UP
4,28,7412,?,?,0,UP
4,29,7358,?,?,0,UP
4,30,7277,?,?,0,UP
4,31,7229,?,?,0,UP
4,32,7248,?,?,0,UP
4,33,7302,?,?,0,DOWN
4,34,7420,?,?,0,DOWN
4,35,7706,?,?,0,UP
4,36,8254,?,?,0,UP
4,37,8205,?,?,0,UP
4,38,8025,?,?,0,DOWN
4,39,7773,?,?,0,DOWN
4,40,7591,?,?,0,DOWN
4,41,7459,?,?,0,DOWN
4,42,7323,?,?,0,DOWN
4,43,7013,?,?,0,UP
4,44,6769,?,?,0,UP
4,45,7113,?,?,0,UP
4,46,7249,?,?,0,UP
4,47,7392,?,?,0,UP
4,48,7380,?,?,0,UP
5,1,7365,?,?,0,UP
5,2,7195,?,?,0,UP
5,3,6933,?,?,0,UP
5,4,6478,?,?,0,UP
5,5,6111,?,?,0,UP
5,6,5835,?,?,0,UP
5,7,5533,?,?,0,UP
5,8,5378,?,?,0,UP
5,9,5312,?,?,0,UP
5,10,5347,?,?,0,UP
5,11,5504,?,?,0,UP
5,12,5799,?,?,0,UP
5,13,6386,?,?,0,UP
5,14,6973,?,?,0,UP
5,15,7002,?,?,0,UP
5,16,7351,?,?,0,UP
5,17,7613,?,?,0,UP
5,18,7639,?,?,0,UP
5,19,7918,?,?,0,UP
5,20,7977,?,?,0,UP
5,21,7872,?,?,0,UP
5,22,7747,?,?,0,UP
5,23,7667,?,?,0,DOWN
5,24,7605,?,?,0,UP
5,25,7536,?,?,0,UP
5,26,7518,?,?,0,UP
5,27,7456,?,?,0,UP
5,28,7421,?,?,0,UP
5,29,7377,?,?,0,UP
5,30,7344,?,?,0,UP
5,31,7228,?,?,0,UP
5,32,7221,?,?,0,UP
5,33,7243,?,?,0,DOWN
5,34,7358,?,?,0,UP
5,35,7632,?,?,0,UP
5,36,7967,?,?,0,DOWN
5,37,7862,?,?,0,DOWN
5,38,7672,?,?,0,DOWN
5,39,7355,?,?,0,DOWN
5,40,7161,?,?,0,DOWN
5,41,6957,?,?,0,DOWN
5,42,6805,?,?,0,DOWN
5,43,6641,?,?,0,DOWN
5,44,6353,?,?,0,DOWN
5,45,6838,?,?,0,DOWN
5,46,7023,?,?,0,DOWN
5,47,7222,?,?,0,UP
5,48,7201,?,?,0,UP
6,1,7211,?,?,0,DOWN
6,2,7013,?,?,0,DOWN
6,3,6750,?,?,0,DOWN
6,4,6321,?,?,0,DOWN
6,5,5930,?,?,0,DOWN
6,6,5597,?,?,0,DOWN
6,7,5300,?,?,0,DOWN
6,8,5130,?,?,0,DOWN
6,9,5019,?,?,0,DOWN
6,10,4957,?,?,0,DOWN
6,11,4982,?,?,0,DOWN
6,12,5085,?,?,0,DOWN
6,13,5281,?,?,0,DOWN
6,14,5463,?,?,0,DOWN
6,15,5713,?,?,0,DOWN
6,16,6198,?,?,0,DOWN
6,17,6588,?,?,0,DOWN
6,18,6868,?,?,0,DOWN
6,19,7121,?,?,0,DOWN
6,20,7155,?,?,0,DOWN
6,21,7077,?,?,0,DOWN
6,22,6984,?,?,0,DOWN
6,23,6846,?,?,0,DOWN
6,24,6768,?,?,0,DOWN
6,25,6657,?,?,0,DOWN
6,26,6540,?,?,0,DOWN
6,27,6464,?,?,0,DOWN
6,28,6383,?,?,0,DOWN
6,29,6267,?,?,0,DOWN
6,30,6205,?,?,0,DOWN
6,31,6187,?,?,0,UP
6,32,6205,?,?,0,UP
6,33,6233,?,?,0,UP
6,34,6413,?,?,0,UP
6,35,6715,?,?,0,UP
6,36,7295,?,?,0,UP
6,37,7353,?,?,0,UP
6,38,7154,?,?,0,UP
6,39,6864,?,?,0,DOWN
6,40,6637,?,?,0,DOWN
6,41,6461,?,?,0,DOWN
6,42,6354,?,?,0,DOWN
6,43,6170,?,?,0,DOWN
6,44,6018,?,?,0,DOWN
6,45,6274,?,?,0,UP
6,46,6404,?,?,0,DOWN
6,47,6542,?,?,0,DOWN
6,48,6402,?,?,0,DOWN
7,1,6307,?,?,0,DOWN
7,2,6015,?,?,0,DOWN
7,3,5848,?,?,0,DOWN
7,4,5498,?,?,0,DOWN
7,5,5220,?,?,0,DOWN
7,6,5023,?,?,0,UP
7,7,4860,?,?,0,UP
7,8,4768,?,?,0,UP
7,9,4665,?,?,0,UP
7,10,4629,?,?,0,UP
7,11,4706,?,?,0,UP
7,12,4774,?,?,0,UP
7,13,4884,?,?,0,UP
7,14,4892,?,?,0,DOWN
7,15,5134,?,?,0,DOWN
7,16,5487,?,?,0,DOWN
7,17,5826,?,?,0,DOWN
7,18,6138,?,?,0,DOWN
7,19,6476,?,?,0,DOWN
7,20,6635,?,?,0,DOWN
7,21,6662,?,?,0,DOWN
7,22,6597,?,?,0,DOWN
7,23,6541,?,?,0,UP
7,24,6448,?,?,0,DOWN
7,25,6346,?,?,0,UP
7,26,6163,?,?,0,UP
7,27,6046,?,?,0,DOWN
7,28,5920,?,?,0,DOWN
7,29,5854,?,?,0,DOWN
7,30,5830,?,?,0,DOWN
7,31,5837,?,?,0,DOWN
7,32,5890,?,?,0,DOWN
7,33,5892,?,?,0,DOWN
7,34,6047,?,?,0,DOWN
7,35,6365,?,?,0,DOWN
7,36,6880,?,?,0,DOWN
7,37,6989,?,?,0,UP
7,38,6849,?,?,0,DOWN
7,39,6739,?,?,0,DOWN
7,40,6605,?,?,0,DOWN
7,41,6484,?,?,0,DOWN
7,42,6365,?,?,0,DOWN
7,43,6160,?,?,0,DOWN
7,44,5971,?,?,0,DOWN
7,45,6206,?,?,0,DOWN
7,46,6283,?,?,0,DOWN
7,47,6401,?,?,0,DOWN
7,48,6248,?,?,0,DOWN
1,1,6174,?,?,0,DOWN
1,2,5939,?,?,0,DOWN
1,3,5846,?,?,0,DOWN
1,4,5523,?,?,0,DOWN
1,5,5315,?,?,0,DOWN
1,6,5133,?,?,0,DOWN
1,7,5028,?,?,0,DOWN
1,8,4955,?,?,0,DOWN
1,9,4962,?,?,0,DOWN
1,10,5017,?,?,0,DOWN
1,11,5236,?,?,0,DOWN
1,12,5536,?,?,0,DOWN
1,13,6153,?,?,0,DOWN
1,14,6745,?,?,0,DOWN
1,15,6798,?,?,0,UP
1,16,7204,?,?,0,UP
1,17,7402,?,?,0,UP
1,18,7431,?,?,0,UP
1,19,7718,?,?,0,UP
1,20,7835,?,?,0,UP
1,21,7763,?,?,0,UP
1,22,7628,?,?,0,UP
1,23,7602,?,?,0,UP
1,24,7586,?,?,0,UP
1,25,7558,?,?,0,UP
1,26,7476,?,?,0,UP
1,27,7491,?,?,0,UP
1,28,7490,?,?,0,UP
1,29,7455,?,?,0,UP
1,30,7418,?,?,0,UP
1,31,7346,?,?,0,UP
1,32,7453,?,?,0,UP
1,33,7563,?,?,0,UP
1,34,7886,?,?,0,UP
1,35,8251,?,?,0,UP
1,36,8654,?,?,0,UP
1,37,8506,?,?,0,UP
1,38,8289,?,?,0,UP
1,39,8027,?,?,0,UP
1,40,7810,?,?,0,UP
1,41,7615,?,?,0,UP
1,42,7446,?,?,0,UP
1,43,7151,?,?,0,UP
1,44,6825,?,?,0,UP
1,45,7131,?,?,0,DOWN
1,46,7291,?,?,0,DOWN
1,47,7423,?,?,0,UP
1,48,7392,?,?,0,DOWN
2,1,7364,?,?,0,DOWN
2,2,7224,?,?,0,DOWN
2,3,7027,?,?,0,DOWN
2,4,6569,?,?,0,DOWN
2,5,6151,?,?,0,DOWN
2,6,5865,?,?,0,DOWN
2,7,5576,?,?,0,DOWN
2,8,5399,?,?,0,DOWN
2,9,5333,?,?,0,DOWN
2,10,5337,?,?,0,DOWN
2,11,5525,?,?,0,DOWN
2,12,5841,?,?,0,DOWN
2,13,6451,?,?,0,DOWN
2,14,7209,?,?,0,UP
2,15,7280,?,?,0,UP
2,16,7674,?,?,0,UP
2,17,7825,?,?,0,UP
2,18,7794,?,?,0,UP
2,19,8030,?,?,0,UP
2,20,8121,?,?,0,UP
2,21,7996,?,?,0,UP
2,22,7861,?,?,0,DOWN
2,23,7746,?,?,0,UP
2,24,7697,?,?,0,UP
2,25,7616,?,?,0,UP
2,26,7634,?,?,0,UP
2,27,7649,?,?,0,UP
2,28,7577,?,?,0,UP
2,29,7499,?,?,0,UP
2,30,7465,?,?,0,UP
2,31,7420,?,?,0,UP
2,32,7533,?,?,0,UP
2,33,7628,?,?,0,UP
2,34,7909,?,?,0,UP
2,35,8389,?,?,0,UP
2,36,8836,?,?,0,UP
2,37,8750,?,?,0,UP
2,38,8544,?,?,0,UP
2,39,8208,?,?,0,UP
2,40,8052,?,?,0,UP
2,41,7876,?,?,0,UP
2,42,7689,?,?,0,DOWN
2,43,7387,?,?,0,DOWN
2,44,7111,?,?,0,DOWN
2,45,7359,?,?,0,UP
2,46,7434,?,?,0,DOWN
2,47,7557,?,?,0,DOWN
2,48,7505,?,?,0,DOWN
3,1,7543,?,?,0,DOWN
3,2,7362,?,?,0,DOWN
3,3,7174,?,?,0,DOWN
3,4,6718,?,?,0,DOWN
3,5,6365,?,?,0,DOWN
3,6,6012,?,?,0,DOWN
3,7,5734,?,?,0,DOWN
3,8,5531,?,?,0,DOWN
3,9,5452,?,?,0,DOWN
3,10,5439,?,?,0,DOWN
3,11,5634,?,?,0,DOWN
3,12,5911,?,?,0,DOWN
3,13,6595,?,?,0,DOWN
3,14,7309,?,?,0,UP
3,15,7375,?,?,0,UP
3,16,7807,?,?,0,UP
3,17,7932,?,?,0,UP
3,18,7859,?,?,0,UP
3,19,8063,?,?,0,UP
3,20,8092,?,?,0,DOWN
3,21,7979,?,?,0,DOWN
3,22,7836,?,?,0,DOWN
3,23,7758,?,?,0,DOWN
3,24,7658,?,?,0,DOWN
3,25,7583,?,?,0,DOWN
3,26,7512,?,?,0,DOWN
3,27,7453,?,?,0,DOWN
3,28,7426,?,?,0,DOWN
3,29,7342,?,?,0,DOWN
3,30,7240,?,?,0,DOWN
3,31,7198,?,?,0,DOWN
3,32,7300,?,?,0,DOWN
3,33,7387,?,?,0,DOWN
3,34,7636,?,?,0,UP
3,35,8107,?,?,0,UP
3,36,8613,?,?,0,UP
3,37,8527,?,?,0,UP
3,38,8338,?,?,0,UP
3,39,8076,?,?,0,UP
3,40,7906,?,?,0,UP
3,41,7768,?,?,0,UP
3,42,7559,?,?,0,UP
3,43,7287,?,?,0,UP
3,44,6961,?,?,0,UP
3,45,7291,?,?,0,UP
3,46,7395,?,?,0,UP
3,47,7552,?,?,0,UP
3,48,7558,?,?,0,UP
4,1,7570,?,?,0,UP
4,2,7393,?,?,0,UP
4,3,7156,?,?,0,DOWN
4,4,6740,?,?,0,DOWN
4,5,6340,?,?,0,DOWN
4,6,6030,?,?,0,DOWN
4,7,5720,?,?,0,DOWN
4,8,5526,?,?,0,DOWN
4,9,5419,?,?,0,DOWN
4,10,5427,?,?,0,DOWN
4,11,5615,?,?,0,DOWN
4,12,5898,?,?,0,DOWN
4,13,6547,?,?,0,DOWN
4,14,7254,?,?,0,UP
4,15,7335,?,?,0,UP
4,16,7801,?,?,0,UP
4,17,7929,?,?,0,UP
4,18,7883,?,?,0,UP
4,19,8153,?,?,0,DOWN
4,20,8217,?,?,0,DOWN
4,21,8115,?,?,0,DOWN
4,22,7990,?,?,0,DOWN
4,23,7884,?,?,0,DOWN
4,24,7841,?,?,0,DOWN
4,25,7796,?,?,0,DOWN
4,26,7733,?,?,0,DOWN
4,27,7636,?,?,0,DOWN
4,28,7653,?,?,0,DOWN
4,29,7605,?,?,0,DOWN
4,30,7558,?,?,0,DOWN
4,31,7538,?,?,0,DOWN
4,32,7612,?,?,0,DOWN
4,33,7755,?,?,0,DOWN
4,34,8019,?,?,0,UP
4,35,8418,?,?,0,UP
4,36,8836,?,?,0,UP
4,37,8781,?,?,0,UP
4,38,8620,?,?,0,UP
4,39,8365,?,?,0,UP
4,40,8164,?,?,0,UP
4,41,8041,?,?,0,UP
4,42,7825,?,?,0,DOWN
4,43,7471,?,?,0,DOWN
4,44,7168,?,?,0,DOWN
4,45,7483,?,?,0,UP
4,46,7570,?,?,0,UP
4,47,7638,?,?,0,UP
4,48,7565,?,?,0,UP
5,1,7537,?,?,0,UP
5,2,7377,?,?,0,UP
5,3,7191,?,?,0,UP
5,4,6722,?,?,0,DOWN
5,5,6349,?,?,0,DOWN
5,6,6039,?,?,0,DOWN
5,7,5734,?,?,0,DOWN
5,8,5557,?,?,0,DOWN
5,9,5458,?,?,0,DOWN
5,10,5452,?,?,0,DOWN
5,11,5642,?,?,0,DOWN
5,12,5931,?,?,0,UP
5,13,6555,?,?,0,UP
5,14,7262,?,?,0,UP
5,15,7365,?,?,0,DOWN
5,16,7815,?,?,0,DOWN
5,17,7949,?,?,0,UP
5,18,7930,?,?,0,UP
5,19,8148,?,?,0,UP
5,20,8190,?,?,0,UP
5,21,8070,?,?,0,UP
5,22,7938,?,?,0,UP
5,23,7843,?,?,0,UP
5,24,7830,?,?,0,UP
5,25,7768,?,?,0,UP
5,26,7706,?,?,0,UP
5,27,7587,?,?,0,UP
5,28,7513,?,?,0,UP
5,29,7427,?,?,0,DOWN
5,30,7351,?,?,0,UP
5,31,7310,?,?,0,UP
5,32,7366,?,?,0,UP
5,33,7452,?,?,0,UP
5,34,7709,?,?,0,UP
5,35,8087,?,?,0,UP
5,36,8440,?,?,0,DOWN
5,37,8254,?,?,0,UP
5,38,8128,?,?,0,UP
5,39,7826,?,?,0,DOWN
5,40,7662,?,?,0,DOWN
5,41,7503,?,?,0,DOWN
5,42,7398,?,?,0,DOWN
5,43,7121,?,?,0,DOWN
5,44,6819,?,?,0,DOWN
5,45,7206,?,?,0,UP
5,46,7396,?,?,0,DOWN
5,47,7566,?,?,0,UP
5,48,7529,?,?,0,UP
6,1,7492,?,?,0,DOWN
6,2,7281,?,?,0,DOWN
6,3,7049,?,?,0,DOWN
6,4,6559,?,?,0,DOWN
6,5,6160,?,?,0,DOWN
6,6,5804,?,?,0,DOWN
6,7,5523,?,?,0,DOWN
6,8,5305,?,?,0,DOWN
6,9,5168,?,?,0,DOWN
6,10,5103,?,?,0,DOWN
6,11,5127,?,?,0,DOWN
6,12,5228,?,?,0,DOWN
6,13,5427,?,?,0,DOWN
6,14,5682,?,?,0,DOWN
6,15,5984,?,?,0,DOWN
6,16,6480,?,?,0,DOWN
6,17,6927,?,?,0,DOWN
6,18,7177,?,?,0,DOWN
6,19,7421,?,?,0,UP
6,20,7421,?,?,0,UP
6,21,7321,?,?,0,UP
6,22,7203,?,?,0,UP
6,23,7103,?,?,0,DOWN
6,24,6997,?,?,0,DOWN
6,25,6934,?,?,0,DOWN
6,26,6826,?,?,0,DOWN
6,27,6748,?,?,0,DOWN
6,28,6667,?,?,0,DOWN
6,29,6612,?,?,0,DOWN
6,30,6538,?,?,0,DOWN
6,31,6548,?,?,0,DOWN
6,32,6591,?,?,0,DOWN
6,33,6670,?,?,0,DOWN
6,34,6999,?,?,0,DOWN
6,35,7415,?,?,0,DOWN
6,36,7882,?,?,0,UP
6,37,7886,?,?,0,UP
6,38,7686,?,?,0,UP
6,39,7382,?,?,0,UP
6,40,7126,?,?,0,UP
6,41,6969,?,?,0,UP
6,42,6820,?,?,0,DOWN
6,43,6609,?,?,0,DOWN
6,44,6400,?,?,0,DOWN
6,45,6647,?,?,0,DOWN
6,46,6732,?,?,0,DOWN
6,47,6836,?,?,0,DOWN
6,48,6620,?,?,0,DOWN
7,1,6526,?,?,0,DOWN
7,2,6227,?,?,0,DOWN
7,3,6050,?,?,0,DOWN
7,4,5697,?,?,0,DOWN
7,5,5426,?,?,0,DOWN
7,6,5205,?,?,0,DOWN
7,7,5032,?,?,0,DOWN
7,8,4883,?,?,0,DOWN
7,9,4819,?,?,0,DOWN
7,10,4769,?,?,0,DOWN
7,11,4822,?,?,0,DOWN
7,12,4874,?,?,0,DOWN
7,13,5029,?,?,0,DOWN
7,14,5159,?,?,0,DOWN
7,15,5311,?,?,0,DOWN
7,16,5671,?,?,0,UP
7,17,6077,?,?,0,UP
7,18,6398,?,?,0,UP
7,19,6733,?,?,0,UP
7,20,6878,?,?,0,UP
7,21,6867,?,?,0,UP
7,22,6763,?,?,0,UP
7,23,6654,?,?,0,UP
7,24,6550,?,?,0,UP
7,25,6473,?,?,0,UP
7,26,6370,?,?,0,UP
7,27,6241,?,?,0,UP
7,28,6126,?,?,0,UP
7,29,6035,?,?,0,UP
7,30,5954,?,?,0,UP
7,31,6016,?,?,0,UP
7,32,6088,?,?,0,UP
7,33,6241,?,?,0,UP
7,34,6622,?,?,0,DOWN
7,35,7086,?,?,0,UP
7,36,7576,?,?,0,UP
7,37,7675,?,?,0,UP
7,38,7491,?,?,0,UP
7,39,7373,?,?,0,DOWN
7,40,7174,?,?,0,DOWN
7,41,7010,?,?,0,DOWN
7,42,6889,?,?,0,DOWN
7,43,6644,?,?,0,DOWN
7,44,6381,?,?,0,DOWN
7,45,6565,?,?,0,DOWN
7,46,6646,?,?,0,UP
7,47,6679,?,?,0,DOWN
7,48,6483,?,?,0,DOWN
1,1,6444,?,?,0,DOWN
1,2,6208,?,?,0,DOWN
1,3,6049,?,?,0,DOWN
1,4,5787,?,?,0,DOWN
1,5,5517,?,?,0,DOWN
1,6,5303,?,?,0,DOWN
1,7,5193,?,?,0,DOWN
1,8,5080,?,?,0,DOWN
1,9,5100,?,?,0,DOWN
1,10,5125,?,?,0,DOWN
1,11,5335,?,?,0,DOWN
1,12,5669,?,?,0,UP
1,13,6304,?,?,0,UP
1,14,7015,?,?,0,UP
1,15,7186,?,?,0,DOWN
1,16,7614,?,?,0,DOWN
1,17,7797,?,?,0,UP
1,18,7793,?,?,0,UP
1,19,8030,?,?,0,UP
1,20,8122,?,?,0,UP
1,21,8028,?,?,0,UP
1,22,7858,?,?,0,UP
1,23,7798,?,?,0,UP
1,24,7753,?,?,0,UP
1,25,7674,?,?,0,UP
1,26,7599,?,?,0,UP
1,27,7619,?,?,0,UP
1,28,7553,?,?,0,UP
1,29,7470,?,?,0,UP
1,30,7400,?,?,0,UP
1,31,7377,?,?,0,UP
1,32,7428,?,?,0,UP
1,33,7531,?,?,0,UP
1,34,7789,?,?,0,UP
1,35,8334,?,?,0,UP
1,36,8828,?,?,0,UP
1,37,8728,?,?,0,UP
1,38,8495,?,?,0,UP
1,39,8176,?,?,0,UP
1,40,8058,?,?,0,DOWN
1,41,7840,?,?,0,UP
1,42,7692,?,?,0,UP
1,43,7377,?,?,0,DOWN
1,44,7092,?,?,0,UP
1,45,7358,?,?,0,UP
1,46,7388,?,?,0,UP
1,47,7474,?,?,0,UP
1,48,7442,?,?,0,UP
2,1,7447,?,?,0,UP
2,2,7341,?,?,0,UP
2,3,7169,?,?,0,DOWN
2,4,6774,?,?,0,DOWN
2,5,6372,?,?,0,DOWN
2,6,6030,?,?,0,DOWN
2,7,5760,?,?,0,DOWN
2,8,5522,?,?,0,DOWN
2,9,5420,?,?,0,DOWN
2,10,5385,?,?,0,DOWN
2,11,5594,?,?,0,DOWN
2,12,5929,?,?,0,DOWN
2,13,6563,?,?,0,UP
2,14,7290,?,?,0,UP
2,15,7444,?,?,0,DOWN
2,16,7917,?,?,0,DOWN
2,17,8062,?,?,0,DOWN
2,18,8005,?,?,0,UP
2,19,8203,?,?,0,UP
2,20,8291,?,?,0,UP
2,21,8139,?,?,0,UP
2,22,7947,?,?,0,UP
2,23,7787,?,?,0,UP
2,24,7780,?,?,0,DOWN
2,25,7704,?,?,0,UP
2,26,7638,?,?,0,UP
2,27,7608,?,?,0,UP
2,28,7568,?,?,0,UP
2,29,7499,?,?,0,DOWN
2,30,7415,?,?,0,DOWN
2,31,7358,?,?,0,UP
2,32,7475,?,?,0,UP
2,33,7590,?,?,0,UP
2,34,7792,?,?,0,UP
2,35,8388,?,?,0,UP
2,36,8931,?,?,0,UP
2,37,8872,?,?,0,UP
2,38,8654,?,?,0,UP
2,39,8388,?,?,0,DOWN
2,40,8195,?,?,0,DOWN
2,41,8082,?,?,0,UP
2,42,7914,?,?,0,DOWN
2,43,7584,?,?,0,DOWN
2,44,7234,?,?,0,UP
2,45,7522,?,?,0,UP
2,46,7563,?,?,0,UP
2,47,7601,?,?,0,UP
2,48,7602,?,?,0,UP
3,1,7575,?,?,0,UP
3,2,7473,?,?,0,UP
3,3,7338,?,?,0,DOWN
3,4,6927,?,?,0,DOWN
3,5,6526,?,?,0,DOWN
3,6,6232,?,?,0,DOWN
3,7,5898,?,?,0,DOWN
3,8,5705,?,?,0,DOWN
3,9,5587,?,?,0,DOWN
3,10,5557,?,?,0,DOWN
3,11,5772,?,?,0,DOWN
3,12,6131,?,?,0,DOWN
3,13,6811,?,?,0,UP
3,14,7589,?,?,0,UP
3,15,7712,?,?,0,DOWN
3,16,8240,?,?,0,UP
3,17,8397,?,?,0,UP
3,18,8273,?,?,0,UP
3,19,8419,?,?,0,UP
3,20,8472,?,?,0,UP
3,21,8325,?,?,0,UP
3,22,8115,?,?,0,UP
3,23,7962,?,?,0,UP
3,24,7893,?,?,0,UP
3,25,7794,?,?,0,UP
3,26,7687,?,?,0,UP
3,27,7640,?,?,0,UP
3,28,7567,?,?,0,UP
3,29,7524,?,?,0,DOWN
3,30,7476,?,?,0,DOWN
3,31,7394,?,?,0,UP
3,32,7480,?,?,0,UP
3,33,7580,?,?,0,UP
3,34,7874,?,?,0,UP
3,35,8458,?,?,0,UP
3,36,9003,?,?,0,UP
3,37,8991,?,?,0,UP
3,38,8805,?,?,0,UP
3,39,8558,?,?,0,UP
3,40,8372,?,?,0,UP
3,41,8230,?,?,0,UP
3,42,8072,?,?,0,UP
3,43,7693,?,?,0,UP
3,44,7337,?,?,0,UP
3,45,7548,?,?,0,UP
3,46,7602,?,?,0,UP
3,47,7684,?,?,0,UP
3,48,7641,?,?,0,UP
4,1,7602,?,?,0,UP
4,2,7479,?,?,0,UP
4,3,7290,?,?,0,DOWN
4,4,6870,?,?,0,DOWN
4,5,6484,?,?,0,DOWN
4,6,6176,?,?,0,DOWN
4,7,5845,?,?,0,DOWN
4,8,5590,?,?,0,DOWN
4,9,5457,?,?,0,DOWN
4,10,5476,?,?,0,DOWN
4,11,5666,?,?,0,DOWN
4,12,5998,?,?,0,DOWN
4,13,6732,?,?,0,UP
4,14,7470,?,?,0,UP
4,15,7653,?,?,0,DOWN
4,16,8091,?,?,0,UP
4,17,8178,?,?,0,UP
4,18,8066,?,?,0,UP
4,19,8188,?,?,0,UP
4,20,8219,?,?,0,DOWN
4,21,8070,?,?,0,DOWN
4,22,7849,?,?,0,DOWN
4,23,7713,?,?,0,DOWN
4,24,7641,?,?,0,DOWN
4,25,7562,?,?,0,DOWN
4,26,7446,?,?,0,DOWN
4,27,7402,?,?,0,DOWN
4,28,7379,?,?,0,DOWN
4,29,7337,?,?,0,DOWN
4,30,7269,?,?,0,DOWN
4,31,7231,?,?,0,DOWN
4,32,7312,?,?,0,DOWN
4,33,7402,?,?,0,DOWN
4,34,7621,?,?,0,DOWN
4,35,8223,?,?,0,UP
4,36,8687,?,?,0,UP
4,37,8670,?,?,0,UP
4,38,8565,?,?,0,DOWN
